epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,246.672,1.15081,0.89137,0.99179,0.70056,0.73537,0.65261,0.43541,1.11247,1.46986,1.09263,0.005974,0.005974,0.005974
124,248.539,1.14985,0.89148,0.98287,0.70056,0.73537,0.65261,0.43541,1.11247,1.46986,1.09263,0.005941,0.005941,0.005941
125,250.323,1.14919,1.01464,1.02879,0.70056,0.73537,0.65261,0.43541,1.11247,1.46986,1.09263,0.005908,0.005908,0.005908
126,252.716,1.1742,0.91565,1.02079,0.72901,0.77528,0.69001,0.46978,1.11262,1.29754,1.09031,0.005875,0.005875,0.005875
127,254.534,1.14411,0.88533,0.98993,0.72901,0.77528,0.69001,0.46978,1.11262,1.29754,1.09031,0.005842,0.005842,0.005842
128,256.781,1.09836,0.99899,1.03051,0.72901,0.77528,0.69001,0.46978,1.11262,1.29754,1.09031,0.005809,0.005809,0.005809
129,258.93,1.11835,0.89976,1.01814,0.72901,0.77528,0.69001,0.46978,1.11262,1.29754,1.09031,0.005776,0.005776,0.005776
130,260.901,1.11974,0.87258,0.96712,0.80485,0.84901,0.79961,0.55591,1.07181,0.93438,1.05625,0.005743,0.005743,0.005743
131,262.652,1.07813,0.8602,1.01451,0.80485,0.84901,0.79961,0.55591,1.07181,0.93438,1.05625,0.00571,0.00571,0.00571
132,264.549,1.15271,0.92545,0.98184,0.80485,0.84901,0.79961,0.55591,1.07181,0.93438,1.05625,0.005677,0.005677,0.005677
133,266.44,1.11635,0.91054,0.99184,0.81956,0.84835,0.79877,0.55351,1.06959,0.93516,1.06239,0.005644,0.005644,0.005644
134,268.309,1.13081,0.90553,1.00883,0.81956,0.84835,0.79877,0.55351,1.06959,0.93516,1.06239,0.005611,0.005611,0.005611
135,270.669,1.0836,0.82775,0.98448,0.81956,0.84835,0.79877,0.55351,1.06959,0.93516,1.06239,0.005578,0.005578,0.005578
136,272.871,1.10613,0.86509,0.96511,0.84623,0.83491,0.81426,0.56211,1.07414,0.95443,1.05751,0.005545,0.005545,0.005545
137,274.721,1.07755,0.87302,1.01082,0.84623,0.83491,0.81426,0.56211,1.07414,0.95443,1.05751,0.005512,0.005512,0.005512
138,276.533,1.0928,0.80391,0.96023,0.84623,0.83491,0.81426,0.56211,1.07414,0.95443,1.05751,0.005479,0.005479,0.005479
139,278.3,1.11594,1.04547,1.05161,0.60078,0.63566,0.46758,0.32099,1.08097,1.81607,1.04724,0.005446,0.005446,0.005446
140,280.01,1.08791,0.94582,1.04511,0.60078,0.63566,0.46758,0.32099,1.08097,1.81607,1.04724,0.005413,0.005413,0.005413
141,282.079,1.16018,0.92787,0.9939,0.60078,0.63566,0.46758,0.32099,1.08097,1.81607,1.04724,0.00538,0.00538,0.00538
142,284.517,1.07573,0.88073,0.95949,0.82865,0.82747,0.80688,0.55902,1.06536,0.95556,1.04526,0.005347,0.005347,0.005347
143,286.467,1.07606,0.86329,0.98323,0.82865,0.82747,0.80688,0.55902,1.06536,0.95556,1.04526,0.005314,0.005314,0.005314
144,288.249,1.12995,0.86808,1.00188,0.82865,0.82747,0.80688,0.55902,1.06536,0.95556,1.04526,0.005281,0.005281,0.005281
145,290.082,1.07738,0.86603,0.98392,0.82865,0.82747,0.80688,0.55902,1.06536,0.95556,1.04526,0.005248,0.005248,0.005248
146,291.952,1.13609,0.84887,0.96319,0.78819,0.79894,0.79316,0.55063,1.0612,1.01847,1.03453,0.005215,0.005215,0.005215
147,293.655,1.06758,0.83937,1.01211,0.78819,0.79894,0.79316,0.55063,1.0612,1.01847,1.03453,0.005182,0.005182,0.005182
148,295.831,1.08723,0.87735,0.95613,0.78819,0.79894,0.79316,0.55063,1.0612,1.01847,1.03453,0.005149,0.005149,0.005149
149,298.122,1.0748,0.84499,0.98764,0.80737,0.8292,0.82282,0.57513,1.05907,0.92227,1.02671,0.005116,0.005116,0.005116
150,299.968,1.15402,0.85163,0.99367,0.80737,0.8292,0.82282,0.57513,1.05907,0.92227,1.02671,0.005083,0.005083,0.005083
151,301.774,1.09894,0.87569,0.99349,0.80737,0.8292,0.82282,0.57513,1.05907,0.92227,1.02671,0.00505,0.00505,0.00505
152,303.617,1.08341,0.79546,0.95469,0.83333,0.85038,0.81585,0.57039,1.05627,0.91809,1.02192,0.005017,0.005017,0.005017
153,305.357,1.08939,0.86553,0.99914,0.83333,0.85038,0.81585,0.57039,1.05627,0.91809,1.02192,0.004984,0.004984,0.004984
