epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,377.841,1.08932,0.71252,0.97544,0.86635,0.84459,0.82642,0.57606,1.07369,0.79832,1.08901,0.004885,0.004885,0.004885
157,379.786,1.00828,0.75564,0.99779,0.86635,0.84459,0.82642,0.57606,1.07369,0.79832,1.08901,0.004852,0.004852,0.004852
158,382.175,1.0765,0.7133,0.97288,0.85712,0.85422,0.83139,0.57535,1.0907,0.77663,1.10308,0.004819,0.004819,0.004819
159,384.821,1.10111,0.73351,1.03619,0.85712,0.85422,0.83139,0.57535,1.0907,0.77663,1.10308,0.004786,0.004786,0.004786
160,386.831,1.08082,0.73658,1.02426,0.85712,0.85422,0.83139,0.57535,1.0907,0.77663,1.10308,0.004753,0.004753,0.004753
161,388.809,1.09931,0.75001,1.05835,0.85712,0.85422,0.83139,0.57535,1.0907,0.77663,1.10308,0.00472,0.00472,0.00472
162,390.89,1.04773,0.70764,0.98931,0.86348,0.86923,0.83928,0.58093,1.07001,0.75678,1.10277,0.004687,0.004687,0.004687
163,392.856,1.03239,0.79843,1.04288,0.86348,0.86923,0.83928,0.58093,1.07001,0.75678,1.10277,0.004654,0.004654,0.004654
164,394.978,1.04416,0.72099,1.00022,0.86348,0.86923,0.83928,0.58093,1.07001,0.75678,1.10277,0.004621,0.004621,0.004621
165,397.896,1.05138,0.69503,0.96443,0.86418,0.8549,0.8334,0.57519,1.08425,0.76659,1.10797,0.004588,0.004588,0.004588
166,400.001,1.08534,0.79787,0.99878,0.86418,0.8549,0.8334,0.57519,1.08425,0.76659,1.10797,0.004555,0.004555,0.004555
167,402.094,1.07658,0.71086,0.98529,0.86418,0.8549,0.8334,0.57519,1.08425,0.76659,1.10797,0.004522,0.004522,0.004522
168,404.168,1.13529,0.73077,1.01158,0.80654,0.84926,0.82109,0.56903,1.08492,0.81599,1.10361,0.004489,0.004489,0.004489
169,406.267,1.11488,0.8262,1.00208,0.80654,0.84926,0.82109,0.56903,1.08492,0.81599,1.10361,0.004456,0.004456,0.004456
170,408.27,1.04922,0.73744,1.03852,0.80654,0.84926,0.82109,0.56903,1.08492,0.81599,1.10361,0.004423,0.004423,0.004423
171,411.02,1.04222,0.72644,1.03567,0.76168,0.8238,0.77735,0.54269,1.06793,0.94398,1.09843,0.00439,0.00439,0.00439
172,413.057,1.02624,0.74191,0.99436,0.76168,0.8238,0.77735,0.54269,1.06793,0.94398,1.09843,0.004357,0.004357,0.004357
173,415.204,1.11402,0.71166,0.98494,0.76168,0.8238,0.77735,0.54269,1.06793,0.94398,1.09843,0.004324,0.004324,0.004324
174,417.184,1.05325,0.70505,0.98746,0.76665,0.81987,0.73689,0.50844,1.08223,0.96308,1.10474,0.004291,0.004291,0.004291
175,419.302,1.06322,0.67579,0.98405,0.76665,0.81987,0.73689,0.50844,1.08223,0.96308,1.10474,0.004258,0.004258,0.004258
176,421.231,1.048,0.71867,1.00251,0.76665,0.81987,0.73689,0.50844,1.08223,0.96308,1.10474,0.004225,0.004225,0.004225
177,423.889,1.08777,0.70574,1.00011,0.76665,0.81987,0.73689,0.50844,1.08223,0.96308,1.10474,0.004192,0.004192,0.004192
178,425.999,1.07585,0.77141,1.02354,0.79813,0.84621,0.78723,0.54779,1.06934,0.84373,1.09509,0.004159,0.004159,0.004159
179,427.961,1.04573,0.67357,1.00613,0.79813,0.84621,0.78723,0.54779,1.06934,0.84373,1.09509,0.004126,0.004126,0.004126
180,429.962,1.10855,0.73735,1.002,0.79813,0.84621,0.78723,0.54779,1.06934,0.84373,1.09509,0.004093,0.004093,0.004093
181,431.97,1.04678,0.73749,0.99911,0.83866,0.87513,0.83888,0.58603,1.06346,0.76188,1.09311,0.00406,0.00406,0.00406
182,433.937,1.06521,0.68867,0.99396,0.83866,0.87513,0.83888,0.58603,1.06346,0.76188,1.09311,0.004027,0.004027,0.004027
183,436.507,1.09196,0.7075,0.9835,0.83866,0.87513,0.83888,0.58603,1.06346,0.76188,1.09311,0.003994,0.003994,0.003994
184,438.912,1.03502,0.72299,1.00618,0.85298,0.88376,0.84388,0.58849,1.06403,0.74752,1.09345,0.003961,0.003961,0.003961
185,440.938,1.04872,0.7066,0.99331,0.85298,0.88376,0.84388,0.58849,1.06403,0.74752,1.09345,0.003928,0.003928,0.003928
186,442.936,1.0055,0.66672,0.97671,0.85298,0.88376,0.84388,0.58849,1.06403,0.74752,1.09345,0.003895,0.003895,0.003895
187,444.897,1.05637,0.7029,1.00844,0.86044,0.88587,0.84485,0.58821,1.05656,0.73739,1.08758,0.003862,0.003862,0.003862
188,446.749,1.00595,0.68506,0.98777,0.86044,0.88587,0.84485,0.58821,1.05656,0.73739,1.08758,0.003829,0.003829,0.003829
189,448.806,1.02195,0.68965,0.95395,0.86044,0.88587,0.84485,0.58821,1.05656,0.73739,1.08758,0.003796,0.003796,0.003796
190,451.498,1.061,0.68941,1.00861,0.86421,0.87975,0.84269,0.58558,1.05726,0.73948,1.07876,0.003763,0.003763,0.003763
191,453.349,1.02496,0.66944,0.98544,0.86421,0.87975,0.84269,0.58558,1.05726,0.73948,1.07876,0.00373,0.00373,0.00373
